,Post ID,Text,Likes,Comments,Shares
0,860807028041881,"येLo is providing a new banking experience to businesses all over India.
When are you joining?

Log on to www.YeloBank.in to know more about our Corporate Portal.

#yelobank #fullservicefullpower #neobank #bharat #digitalbanking #fintech #nexthalfbillion #येlo #finhealth #digitalbharat #mobilefirst #smallmediumbussiness #vocalforlocal #smallbusiness #payments #businessbanking #aatmanirbharbharat #startup #businessminded #smallbiztips #newnormal",7,1,0
1,860205078102076,"Simple yet comprehensive banking solutions for your business.
Bank Anytime, Anywhere with the येLo Corporate Portal!
For more details, visit www.yelobank.in.

#yelobank #fullservicefullpower #neobank #bharat #digitalbanking #fintech #nexthalfbillion #येlo #finhealth #digitalbharat #mobilefirst #smallmediumbussiness #vocalforlocal #smallbusiness #payments #businessbanking #aatmanirbharbharat #startup #businessminded #smallbiztips #newnormal",8,1,0
2,859698198152764,"A bank that you can bank on!
Experience the new way of banking with the येLo Corporate Portal.

Visit www.yelobank.in to know more.

#yelobank #fullservicefullpower #neobank #bharat #digitalbanking #fintech #nexthalfbillion #येlo #finhealth #digitalbharat #mobilefirst #smallmediumbussiness #vocalforlocal #smallbusiness #payments #businessbanking #aatmanirbharbharat #startup #businessminded #smallbiztips #newnormal",7,0,0
3,858539764935274,"Make the most of your professional network with the official येLo Affiliate Program.
Start earning with येLo Today!
Visit https://referral.yelobank.in/ to know more.

#yelobank #fullservicefullpower #neobank #bharat #digitalbanking #fintech #nexthalfbillion #येlo #finhealth #digitalbharat #mobilefirst #smallmediumbussiness #vocalforlocal #smallbusiness #payments #businessbanking #aatmanirbharbharat #startup #businessminded #smallbiztips #newnormal",6,0,0
4,857539875035263,"Debit your business banking worries with the येLo Corporate Portal.
Visit www.yelobank.in to know more.

#yelobank #fullservicefullpower #neobank #bharat #digitalbanking #fintech #nexthalfbillion #येlo #finhealth #digitalbharat #mobilefirst #smallmediumbussiness #vocalforlocal #smallbusiness #payments #businessbanking #aatmanirbharbharat #startup #businessminded #smallbiztips #newnormal",7,0,0
