,Post ID,Text,Likes,Comments,Shares
0,3329978783893097,"Hello Everyone,
Here are some tips to help you stay safe and connected through out this period.
#staysafe",2000,7900,103
1,3766425816915056,"In light of our upcoming CEO Awards, we are celebrating the awesomeness of Africa. Answer our trivia to join us in celebrating Africa!

#AccessCEOAwards #accessceoawards2021 #buildinggloballeadership",20,43,0
2,3765928213631483,"Don’t get us wrong, enjoy you life but while at it, it will be a smart move to have a Life insurance.
It gives you security not just for today, but for the future.

Visit https://bit.ly/3w7VMdq to see the Life Insurance plans our bancassurance partner, Coronation Insurance has to offer.

#bestofbothworlds #accesscoronation",49,40,2
3,3765853036972334,"Establish your business and drive more sale with our discounted website services for as low as N20,000 per month.

Click link to get started https://bit.ly/2Tbnx6x

#DiscountedWebsite #accessmore",31,20,0
